epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,80.7359,0.4665,1.99031,1.08449,0.00389,1,0.67709,0.55448,0.35774,2.94378,1.12935,0.00226958,0.000756527,0.00226958,0.000756527,0.00226958,0.000756527,0.00226958,0.000756527
31,82.9364,0.48445,2.01578,1.10446,0.00389,1,0.67709,0.55448,0.35774,2.94378,1.12935,0.00230123,0.000767075,0.00230123,0.000767075,0.00230123,0.000767075,0.00230123,0.000767075
32,85.1707,0.51563,1.96747,1.14206,0.00389,1,0.70472,0.59089,0.38215,2.91182,1.13365,0.0023299,0.000776633,0.0023299,0.000776633,0.0023299,0.000776633,0.0023299,0.000776633
33,87.5043,0.53784,2.00789,1.13308,0.00389,1,0.74132,0.66055,0.37605,2.87665,1.14461,0.0023556,0.0007852,0.0023556,0.0007852,0.0023556,0.0007852,0.0023556,0.0007852
34,89.6057,0.52002,1.89953,1.16535,0.00389,1,0.74132,0.66055,0.37605,2.87665,1.14461,0.00237833,0.000792777,0.00237833,0.000792777,0.00237833,0.000792777,0.00237833,0.000792777
35,91.8658,0.46147,1.83956,1.11918,0.00389,1,0.76783,0.70163,0.3877,2.83729,1.18678,0.0023981,0.000799365,0.0023981,0.000799365,0.0023981,0.000799365,0.0023981,0.000799365
36,94.0682,0.4249,1.82787,1.07711,0.00389,1,0.776,0.70571,0.42112,2.77233,1.19782,0.00241489,0.000804962,0.00241489,0.000804962,0.00241489,0.000804962,0.00241489,0.000804962
37,96.1786,0.39994,1.79105,1.0967,0.00389,1,0.776,0.70571,0.42112,2.77233,1.19782,0.00242871,0.00080957,0.00242871,0.00080957,0.00242871,0.00080957,0.00242871,0.00080957
38,98.5703,0.45013,1.79304,1.06722,0.50551,0.85714,0.80944,0.73713,0.4563,2.74631,1.22572,0.00243956,0.000813187,0.00243956,0.000813187,0.00243956,0.000813187,0.00243956,0.000813187
39,100.858,0.40158,1.70945,1.06673,0.67982,0.30826,0.79233,0.70565,0.52993,2.68864,1.26113,0.00244744,0.000815815,0.00244744,0.000815815,0.00244744,0.000815815,0.00244744,0.000815815
